Five-Digit ZIP Code,Year,Annual Change (%),HPI
21136,2018,5.21,539.75
21140,2018,-6.48,361.5
21144,2018,5.61,564.37
21146,2018,1.12,767.63
21152,2018,-2.47,262.14
21154,2018,3.44,297.56
21155,2018,4.29,286.8
21157,2018,3.44,594.42
21158,2018,3.7,452.62
21160,2018,1.79,211.55
21161,2018,1.55,309.45
21162,2018,-0.15,220.51
21163,2018,10.2,333.82
21201,2018,6.91,217.42
21202,2018,6.48,259.73
21204,2018,4.62,494.34
21205,2018,34.57,141.67
21206,2018,3.3,408.29
21207,2018,1.85,500.34
21208,2018,0.44,474.33
21209,2018,2.71,482.19
21210,2018,0.84,525.9
21211,2018,8.74,873.26
21212,2018,4.32,761.97
21213,2018,12.23,226.97
21214,2018,4.72,460.4
21215,2018,1.76,390.44
21216,2018,18.09,184.97
21217,2018,7.03,320.09
21218,2018,7.38,764.22
21219,2018,0.12,382.1
21220,2018,3.57,397.57
21221,2018,3.04,420.26
21222,2018,6.04,380.22
21223,2018,-12.49,180.18
21224,2018,-0.04,548.3
21225,2018,9.6,286.73
21226,2018,1.2,220.32
21227,2018,4.3,493.14
21228,2018,4.66,613.08
21229,2018,1.71,450.71
21230,2018,-1.02,586.68
21231,2018,-2.04,400.15
21234,2018,0.78,478.59
21236,2018,2.98,528.12
21237,2018,4.34,353.32
21239,2018,4.78,382.49
21244,2018,-1.33,277.01
21286,2018,2.44,458.95
21401,2018,3.84,792.72
21403,2018,2.39,753.54
21409,2018,7.92,761.03
21502,2018,-5.29,217.76
21532,2018,-4.25,187.86
21536,2018,-7.68,131.89
21541,2018,3.37,192.08
21550,2018,-0.17,170.6
21561,2018,21.81,216.61
21601,2018,1.71,284.46
21612,2018,0,132.07
21613,2018,4.08,256.38
21617,2018,1.6,185.07
21619,2018,7.4,252.45
21620,2018,1.1,177.83
21623,2018,9.06,173.19
21629,2018,3.8,176.44
21631,2018,-4.47,170.61
21632,2018,8.49,168.44
21635,2018,-4.56,177.34
21638,2018,1.48,202.23
21639,2018,5.51,185.07
21640,2018,-7.16,125.6
21643,2018,7.24,154.72
21645,2018,3.18,117.24
21651,2018,-2.23,155.95
21654,2018,-10.31,206.59
21655,2018,-1.5,170.05
21657,2018,-4.78,191.83
21658,2018,4.92,213.25
21660,2018,-2.83,198.21
21661,2018,0.8,181.76
21663,2018,-10.9,230.09
21666,2018,1.71,406.04
21668,2018,0,134.4
21671,2018,7.86,189.12
21673,2018,0.06,169.66
21678,2018,2.16,129.78
21701,2018,5.54,520.29
21702,2018,3.75,433.14
21703,2018,1.67,399.91
21704,2018,12.01,307.37
21710,2018,1.79,300.7
21713,2018,2.62,217.83
21716,2018,8.73,240.15
21719,2018,25.28,160.36
21722,2018,11.63,206.61
21727,2018,4.21,218.57
21733,2018,-5,186.47
21737,2018,-6.95,305.81
21738,2018,-7.99,308.9
21740,2018,3.42,322.51
21742,2018,9.56,298.03
21750,2018,0.23,172.98
21754,2018,1.5,307.96
21755,2018,11.72,319.46
21756,2018,10.19,196.65
21757,2018,12.05,191.38
21758,2018,3.26,208.41
21769,2018,1.96,436.15
21770,2018,3.28,306.56
21771,2018,4.34,486.22
21773,2018,1.34,198.12
21774,2018,0.96,211.82
21776,2018,-1.33,322.86
21777,2018,4.9,202.21
21778,2018,-10.78,131.72
21779,2018,9.49,214.01
21780,2018,-4.76,164.9
21782,2018,2.04,214.28
21783,2018,14.91,203.64
21784,2018,4.83,688.95
21787,2018,3.11,333.27
21788,2018,4.08,312.68
21791,2018,3,316.23
21793,2018,7.88,485.67
21794,2018,8.65,208.22
21795,2018,2.13,171.81
21797,2018,0.74,372.66
21798,2018,4.11,195.11
21801,2018,6.09,240.79
21804,2018,10.64,228.21
21811,2018,1.59,309.98
21813,2018,-3.85,196.33
21817,2018,-35.01,91.38
21821,2018,-3.1,115.17
21822,2018,3.36,129.83
21826,2018,12.55,166.17
21830,2018,-8.88,163.27
21842,2018,0.41,279.19
21849,2018,13.79,167.67
21850,2018,6.86,127.86
21851,2018,10.23,148.21
21853,2018,19.22,164.6
21863,2018,9.98,207.17
21871,2018,-0.44,141.08
21874,2018,21.1,174.47
21875,2018,3.24,147.9
21901,2018,5.3,295.35
21903,2018,-2.23,195.84
21904,2018,3.57,292.67
21911,2018,8.41,305.88
21914,2018,0,134.77
21915,2018,6.76,282.95
21917,2018,10.26,197.6
21918,2018,5.96,225.7
21919,2018,-11,198.02
21921,2018,3.08,374.92
22003,2018,1.57,798.5
22015,2018,1.01,751.23
22025,2018,19.38,471.91
22026,2018,-6.5,208.16
22030,2018,-1.54,816.42
22031,2018,4.37,798.9
22032,2018,1.44,788.15
22033,2018,7.04,716.79
22039,2018,-4.79,486.97
22041,2018,5.76,403.67
22042,2018,1.46,932.86
22043,2018,-0.47,1057.79
22044,2018,2.66,383.19
22046,2018,-0.47,1129.18
22066,2018,-2.22,742.24
22079,2018,5.49,380.5
22101,2018,0.34,1042.47
22102,2018,4.25,967.67
22124,2018,-1.27,781.54
22150,2018,3.74,746.36
22151,2018,5.59,797.61
22152,2018,2.39,665.05
22153,2018,3.07,739.22
22172,2018,8.13,206.18
22180,2018,1.64,980.22
22181,2018,0.53,843.19
22182,2018,5.03,974.95
22191,2018,3.62,347.41
22192,2018,1.42,477.31
22193,2018,6.06,643.48
22201,2018,-1.21,1621.34
22202,2018,6.73,722.4
22203,2018,4.57,830.33
22204,2018,4.81,1144.74
22205,2018,3.2,1258.59
22206,2018,4.5,514.54
22207,2018,2.91,1223.71
22213,2018,-0.35,484.59
22301,2018,2.74,1370.52
22302,2018,3.52,1037.07
22303,2018,6.28,1006.64
22304,2018,1.46,923.58
22305,2018,8.75,1326.17
22306,2018,-0.31,781.62
22307,2018,4.63,684.13
22308,2018,0.51,902.73
22309,2018,4.69,702.27
22310,2018,1.29,750.96
22311,2018,-2.13,327.97
22312,2018,4.59,716.87
22314,2018,6.93,991.04
22315,2018,2.23,379.16
22401,2018,3.06,381.33
22405,2018,3.14,437.34
22406,2018,1.93,222.32
22407,2018,4.58,354.51
22408,2018,2,296.98
22427,2018,2.92,157.75
22443,2018,2.33,214.51
22469,2018,14.88,119.06
22473,2018,11.81,162.47
22482,2018,-6.56,132.49
22485,2018,-0.81,181.56
22488,2018,-9.25,114.32
22503,2018,14.1,220.17
22508,2018,0.8,286.59
22511,2018,0,157.98
22520,2018,-7.03,143.22
22534,2018,8.88,208.67
22539,2018,7.45,176.13
22542,2018,-2.51,148.47
22546,2018,10.91,214.42
22551,2018,3.93,286.42
22553,2018,1.8,239.54
22554,2018,7.91,433.99
22556,2018,6.05,314.16
